timestamp,load_kW
2025-01-01 00:00:00,66.63709868657092
2025-01-01 00:15:00,140.60713727732536
2025-01-01 00:30:00,105.58733190671974
2025-01-01 00:45:00,16.143050712403973
2025-01-01 01:00:00,133.09391097464342
2025-01-01 01:15:00,0.0
2025-01-01 01:30:00,0.0
2025-01-01 01:45:00,45.89915483242252
2025-01-01 02:00:00,160.72439190615003
2025-01-01 02:15:00,0.0
2025-01-01 02:30:00,34.13634559879233
2025-01-01 02:45:00,0.0
2025-01-01 03:00:00,27.28492011820771
2025-01-01 03:15:00,97.74287997590584
2025-01-01 03:30:00,0.0
2025-01-01 03:45:00,0.0
2025-01-01 04:00:00,0.0
2025-01-01 04:15:00,0.0
2025-01-01 04:30:00,70.98957531458666
2025-01-01 04:45:00,188.00763451131053
2025-01-01 05:00:00,71.08817379912314
2025-01-01 05:15:00,0.0
2025-01-01 05:30:00,0.0
2025-01-01 05:45:00,0.0
2025-01-01 06:00:00,0.0
2025-01-01 06:15:00,174.4148267795931
2025-01-01 06:30:00,0.0
2025-01-01 06:45:00,0.0
2025-01-01 07:00:00,230.71618615839338
2025-01-01 07:15:00,52.719339192509466
2025-01-01 07:30:00,245.82513649223216
2025-01-01 07:45:00,390.4701685144331
2025-01-01 08:00:00,385.3785718795682
2025-01-01 08:15:00,545.1817484182395
2025-01-01 08:30:00,693.8274449143707
2025-01-01 08:45:00,900.0587741615101
2025-01-01 09:00:00,792.6107078188894
2025-01-01 09:15:00,1032.9507540027255
2025-01-01 09:30:00,1041.484784198262
2025-01-01 09:45:00,1134.2297880136541
2025-01-01 10:00:00,1283.9335817369808
2025-01-01 10:15:00,1382.9813988290064
2025-01-01 10:30:00,1313.462533849847
2025-01-01 10:45:00,1514.9775949556538
2025-01-01 11:00:00,1545.348522336133
2025-01-01 11:15:00,1520.857029194196
2025-01-01 11:30:00,1813.2696003525236
2025-01-01 11:45:00,1859.3079420281815
2025-01-01 12:00:00,1699.1236824164312
